,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Fight Night,No Label II,Migos,2014-06-03,216247,68,0.874,0.182,0.874,0.706,0.0,0.334,-5.132,0.207,89.968,4
1,Versace (Remix),Versace (feat. Drake) [Remix] - Single,Migos,2015-01-06,246047,59,0.845,0.0218,0.845,0.705,0.0,0.339,-4.271,0.243,132.05,4
0,Love Songs - Bonus,Parked Car Convos,Kaash Paige,2019-11-15,148640,74,0.641,0.831,0.641,0.355,0.000855,0.11,-10.599,0.0906,120.032,4
1,Cognac Queen,Tina Snow,Megan Thee Stallion,2018-12-21,222752,74,0.79,0.0593,0.79,0.709,0.0,0.0794,-5.806,0.224,131.079,4
0,Wat U Sed (feat. Iamdoechii & Kal Banx),The House Is Burning,Isaiah Rashad,2021-07-30,176682,64,0.838,0.101,0.838,0.634,0.13,0.143,-7.018,0.258,163.0,4
1,MOOO!,Amala (Deluxe Version),Doja Cat,2019-03-01,285053,67,0.869,0.517,0.869,0.532,0.0,0.103,-7.186,0.23,89.004,4
0,Law Of Attraction (feat. Snoh Aalegra),We're All Alone In This Together,Dave,2021-07-22,181676,66,0.774,0.32,0.774,0.513,0.000105,0.0866,-8.159,0.342,102.78,4
1,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,204763,90,0.859,0.434,0.859,0.525,2.34e-05,0.108,-8.051,0.0592,110.066,4
2,Own Brand Freestyle,Own Brand Freestyle,FelixThe1st,2021-10-29,153808,72,0.912,0.16,0.912,0.54,0.0,0.421,-8.038,0.305,128.068,4
3,My Window (feat. Mahalia),Table For Two,Lucky Daye,2021-02-12,280106,47,0.651,0.467,0.651,0.652,0.0138,0.214,-5.854,0.448,83.701,4
4,Debilidad - A COLORS SHOW,Debilidad - A COLORS SHOW,Javiera Mena,2021-09-30,181325,44,0.862,0.242,0.862,0.579,0.00185,0.0912,-9.186,0.181,99.98,4
0,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,84,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
0,Raindrops (feat. Flo Milli),HARAM!,GoldLink,2021-06-18,153973,52,0.882,0.517,0.882,0.572,1.67e-05,0.157,-7.367,0.172,139.955,4
1,Reason,to hell with it,PinkPantheress,2021-10-15,131906,67,0.543,0.0065,0.543,0.833,0.0746,0.1,-6.548,0.0582,167.183,4
2,Charmander,Charmander,Aminé,2021-10-25,131883,73,0.708,0.542,0.708,0.552,0.00377,0.175,-7.101,0.0714,87.195,4
3,Smoke (feat. HVN & SoFaygo),Life of a DON,Don Toliver,2021-10-08,199845,67,0.713,0.3,0.713,0.671,0.0,0.243,-6.515,0.327,119.915,4
4,2AM,Life of a DON,Don Toliver,2021-10-08,165748,69,0.703,0.576,0.703,0.539,0.0,0.114,-6.747,0.199,88.977,4
5,Swangin’ On Westheimer,Life of a DON,Don Toliver,2021-10-08,288852,69,0.698,0.181,0.698,0.344,1.01e-06,0.127,-6.718,0.0692,67.238,4
6,5X,Life of a DON,Don Toliver,2021-10-08,132398,71,0.898,0.0402,0.898,0.518,0.0,0.106,-6.991,0.21,145.082,4
7,ABG,Life B4 Fame,Quando Rondo,2018-05-29,234556,64,0.722,0.482,0.722,0.81,0.0,0.0954,-3.395,0.373,176.108,4
8,Stars Align (with Drake),Wildest Dreams,Majid Jordan,2021-10-22,260519,72,0.763,0.021,0.763,0.667,2.4e-05,0.0715,-6.285,0.085,95.864,4
9,Rocc Climbing (feat. Lil Yachty),Rocc Climbing (feat. Lil Yachty),Remble,2021-09-24,175877,77,0.832,0.316,0.832,0.656,2.13e-06,0.108,-7.492,0.375,100.032,4
0,Harlem Shake (feat. Young Thug),High Off Life,Future,2020-05-15,148246,51,0.864,7.68e-05,0.864,0.689,0.000467,0.111,-7.273,0.22,152.946,4
1,Switch,Switch,SahBabii,2021-10-07,141000,54,0.831,0.0911,0.831,0.508,0.0,0.13,-6.687,0.16,149.972,4
2,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2021-10-08,279853,84,0.739,0.0045,0.739,0.74,0.0,0.161,-5.86,0.333,75.575,4
3,Too Easy,Too Easy,Gunna,2021-09-24,138586,83,0.798,0.024,0.798,0.574,0.0,0.122,-6.548,0.157,155.964,4
4,Vivrant Thing,Goat rap,Various Artists,1999-06-15,190866,35,0.922,0.00682,0.922,0.75,0.000281,0.0543,-6.625,0.0419,99.041,4
5,Tell Me,Crash the Party,Smilez and Southstar,2002-07-23,278800,46,0.693,0.0901,0.693,0.88,0.0,0.211,-3.228,0.0661,88.088,4
6,My Love,Love Vs Money,The-Dream,2009-01-01,204613,49,0.369,0.418,0.369,0.639,0.0,0.141,-4.839,0.0341,81.053,4
7,4Ever (feat. Fabolous),4 Ever (feat. Fabolous),Lil' Mo,2003-02-11,222946,56,0.683,0.0279,0.683,0.657,4.49e-05,0.367,-10.668,0.099,99.059,4
8,Alien Girl (Today W/ Her),Overly Dedicated,Kendrick Lamar,2010-09-14,239973,46,0.626,0.502,0.626,0.537,0.0835,0.111,-7.344,0.0367,95.948,4
9,So Fly (feat. Yung Joc),So Fly (feat. Yung Joc),Slim,2008-06-10,216360,33,0.777,0.0027,0.777,0.566,0.0,0.257,-4.797,0.0972,90.991,4
10,Wild and Lethal Trash! (feat. Fire! & Santigold),HARAM!,GoldLink,2021-06-18,140186,42,0.397,0.422,0.397,0.74,0.00366,0.107,-6.302,0.303,173.565,3
11,Blessed (feat. Damian Marley),Made In Lagos,WizKid,2020-10-29,262973,63,0.612,0.0864,0.612,0.651,0.0,0.368,-6.974,0.281,90.272,4
12,Give It Up 2 Me,B4 I Breakdown,Ojerime,2020-03-13,178000,60,0.383,0.634,0.383,0.411,0.0155,0.124,-12.517,0.0958,134.406,4
13,Never Lose You,TwoFr 2,Kalan.FrFr,2021-03-12,181866,57,0.561,0.395,0.561,0.598,0.0,0.108,-8.339,0.0882,97.697,4
14,Shine,Shine,Cleo Sol,2020-07-17,226118,56,0.742,0.686,0.742,0.504,0.517,0.103,-10.105,0.0392,140.0,4
15,Young Love,Rose in the Dark,Cleo Sol,2020-03-27,264710,53,0.477,0.633,0.477,0.484,1.83e-06,0.11,-7.821,0.0529,135.592,4
16,Pasadena,Pasadena,Tinashe,2021-06-04,177577,50,0.707,0.59,0.707,0.731,0.0,0.0463,-5.659,0.193,86.033,4
17,Benjamins Burn,Project E.T.,Future,2016-10-13,307617,56,0.612,0.161,0.612,0.308,0.0,0.105,-11.456,0.592,139.401,4
18,Why Won't You Make Up Your Mind?,InnerSpeaker,Tame Impala,2010-05-21,199320,50,0.459,0.0098,0.459,0.835,0.23,0.327,-4.831,0.0592,129.097,4
19,gasbreakdip,98 Corolla,seiji oda,2021-03-19,131020,32,0.886,0.0134,0.886,0.602,0.0,0.115,-7.149,0.376,98.042,4
20,N 2 Deep,Certified Lover Boy,Drake,2021-09-03,273577,78,0.507,0.0518,0.507,0.429,0.0,0.109,-7.726,0.326,91.0,3
21,Sum Change,Sum Change,Mundane,2021-09-02,161053,0,0.855,0.292,0.855,0.295,0.000557,0.0953,-13.328,0.116,122.027,4
22,Wassup,Hold On,Yeat,2020-09-10,130716,8,0.679,0.473,0.679,0.337,0.0,0.165,-16.112,0.357,145.183,4
23,Sorry Bout That,4L,Yeat,2021-06-10,186017,74,0.73,8.47e-05,0.73,0.643,0.0,0.203,-7.811,0.0984,141.961,4
24,Girl,Easy Money Baby,Myke Towers,2020-01-24,186426,73,0.733,0.0325,0.733,0.708,0.000327,0.324,-4.957,0.0937,93.021,4
0,Freddy Krueger (feat. Tee Grizzley),Freddy Krueger (feat. Tee Grizzley),YNW Melly,2018-11-23,244506,67,0.834,0.0918,0.834,0.621,0.0,0.0759,-6.156,0.0821,140.05,4
